== 1
run,"C:\Users\f090393\Desktop\CodeV_prove\Updated_macro\macro_op_CLAUDIA_improved.seq";GO
1030.000021,1.249982,-5.500403
1030.000022,1.249981,-5.750392
1030.000023,1.249980,-6.000381
1029.999977,1.000016,5.999619
1029.999978,1.000015,5.749607
1029.999979,1.000015,5.499596
1029.999980,1.000014,5.249585
1029.999981,1.000013,4.999575
1029.999982,1.000013,4.749565
1029.999983,1.000012,4.499555
1029.999983,1.000011,4.249547
1029.999984,1.000011,3.999538
1029.999985,1.000010,3.749530
1029.999986,1.000009,3.499522
1029.999987,1.000009,3.249515
1029.999988,1.000008,2.999509
1029.999989,1.000007,2.749503
1029.999990,1.000007,2.499497
1029.999991,1.000006,2.249492
1029.999992,1.000005,1.999488
1029.999993,1.000005,1.749484
1029.999994,1.000004,1.499480
1029.999995,1.000003,1.249478
1029.999996,1.000003,0.999475
1029.999997,1.000002,0.749473
1029.999998,1.000001,0.499472
1029.999999,1.000001,0.249471
1030.000000,1.000000,-0.000529
1030.000001,0.999999,-0.250529
1030.000002,0.999999,-0.500528
1030.000003,0.999998,-0.750527
1030.000004,0.999997,-1.000525
1030.000005,0.999997,-1.250522
1030.000006,0.999996,-1.500520
1030.000007,0.999995,-1.750516
1030.000008,0.999994,-2.000512
1030.000009,0.999994,-2.250508
1030.000010,0.999993,-2.500503
1030.000011,0.999992,-2.750497
1030.000012,0.999992,-3.000491
1030.000013,0.999991,-3.250485
1030.000014,0.999990,-3.500478
1030.000015,0.999990,-3.750470
1030.000016,0.999989,-4.000462
1030.000016,0.999989,-4.250454
1030.000017,0.999988,-4.500445
1030.000018,0.999987,-4.750435
1030.000019,0.999987,-5.000425
1030.000020,0.999986,-5.250415
1030.000021,0.999985,-5.500404
1030.000022,0.999985,-5.750393
1030.000023,0.999984,-6.000381
1029.999977,0.750012,5.999618
1029.999978,0.750011,5.749607
1029.999979,0.750011,5.499595
1029.999980,0.750010,5.249585
1029.999981,0.750010,4.999574
1029.999982,0.750010,4.749564
1029.999983,0.750009,4.499555
1029.999983,0.750009,4.249546
1029.999984,0.750008,3.999537
1029.999985,0.750008,3.749529
1029.999986,0.750007,3.499522
1029.999987,0.750007,3.249515
1029.999988,0.750006,2.999508
1029.999989,0.750006,2.749502
1029.999990,0.750005,2.499497
1029.999991,0.750005,2.249492
1029.999992,0.750004,1.999487
1029.999993,0.750004,1.749483
1029.999994,0.750003,1.499480
1029.999995,0.750003,1.249477
1029.999996,0.750002,0.999474
1029.999997,0.750002,0.749473
1029.999998,0.750001,0.499471
1029.999999,0.750000,0.249470
1030.000000,0.750000,-0.000530
1030.000001,0.749999,-0.250530
